UNDEFINED0,UNDEFINED0,0
UNDEFINED2,UNDEFINED2,2
UNDEFINED3,UNDEFINED3,3
UNDEFINED4,UNDEFINED4,4
UNDEFINED5,UNDEFINED5,5
UNDEFINED6,UNDEFINED6,6
UNDEFINED8,UNDEFINED8,8
UNDEFINED9,UNDEFINED9,9
Afghanistan,Proper,93
Afghanistan,Herat,9340
Afghanistan,Jalalabad,9360
Afghanistan,Kabul,9320
Afghanistan,Kandahar,9330
Afghanistan,Mazar-e-sharif,9350
Afghanistan,Mobile - AWCC,9370
Afghanistan,Mobile - CDMA,9375
Afghanistan,Mobile - MTN,9377
Afghanistan,Mobile - Other Carriers,9378
Afghanistan,Mobile - Roshan,9379
Albania,Proper,355
Albania,Tirane,35541
Albania,Tirane,35542
Albania,Tirane,35543
Albania,Tirane,35544
Albania,Tirane,35545
Albania,Tirane,35546
Albania,Premium Services,35551181
Albania,Mobile - AMC,35568
Albania,Mobile - Eagle,35567
Albania,Mobile - Plus,35566
Albania,Mobile - Vodafone,35569
Algeria,Proper,213
Algeria,Algiers,21321
Algeria,CAT,2131
Algeria,Mobile - Mobilis,21366
Algeria,Mobile - Mobilis,213696
Algeria,Mobile - Mobilis,213697
Algeria,Mobile - Mobilis,213698
Algeria,Mobile - Mobilis,213699
Algeria,Mobile - Orascom,21377
Algeria,Mobile - Orascom,213780
Algeria,Mobile - Orascom,21379
Algeria,Mobile - Wataniya,21355
Algeria,Mobile - Wataniya,21356
American Samoa,Proper,16840
American Samoa,Proper,16841
American Samoa,Proper,16843
American Samoa,Proper,16844
American Samoa,Proper,16845
American Samoa,Proper,16846
American Samoa,Proper,16847
American Samoa,Proper,16848
American Samoa,Proper,16849
American Samoa,Mobile,16842
Andorra,Proper,376
Andorra,Mobile,3763
Andorra,Mobile,3764
Andorra,Mobile,3766
Angola,Proper,244
Angola,Mobile,24491
Angola,Mobile,24492
Angola,Mobile,24493
Anguilla,Proper,1264
Anguilla,Mobile - Digicel,1264581
Anguilla,Mobile - Digicel,1264582
Anguilla,Mobile - Digicel,1264583
Anguilla,Mobile - Digicel,1264584
Anguilla,Mobile - Other Carriers,1264235
Anguilla,Mobile - Other Carriers,1264469
Anguilla,Mobile - Other Carriers,1264476
Anguilla,Mobile - Other Carriers,1264536
Anguilla,Mobile - Other Carriers,1264537
Anguilla,Mobile - Other Carriers,1264538
Anguilla,Mobile - Other Carriers,1264539
Anguilla,Mobile - Other Carriers,1264543
Anguilla,Mobile - Other Carriers,1264729
Anguilla,Mobile - Other Carriers,1264772
Antarctica,Proper,6721
Antarctica,Casey,67212
Antarctica,Scott Base,67211
Antigua and Barbuda,Proper,1268
Antigua and Barbuda,Mobile - Digicel,1268720
Antigua and Barbuda,Mobile - Digicel,1268721
Antigua and Barbuda,Mobile - Digicel,1268722
Antigua and Barbuda,Mobile - Digicel,1268723
Antigua and Barbuda,Mobile - Digicel,1268724
Antigua and Barbuda,Mobile - Digicel,1268725
Antigua and Barbuda,Mobile - Digicel,1268726
Antigua and Barbuda,Mobile - Digicel,1268732
Antigua and Barbuda,Mobile - Digicel,1268734
Antigua and Barbuda,Mobile - Digicel,1268736
Antigua and Barbuda,Mobile - Digicel,1268783
Antigua and Barbuda,Mobile - Digicel,1268785
Antigua and Barbuda,Mobile - Digicel,1268788
Antigua and Barbuda,Mobile - Other Carriers,1268464
Antigua and Barbuda,Mobile - Other Carriers,1268727
Antigua and Barbuda,Mobile - Other Carriers,1268728
Antigua and Barbuda,Mobile - Other Carriers,1268729
Antigua and Barbuda,Mobile - Other Carriers,1268764
Antigua and Barbuda,Mobile - Other Carriers,1268770
Antigua and Barbuda,Mobile - Other Carriers,1268771
Antigua and Barbuda,Mobile - Other Carriers,1268772
Antigua and Barbuda,Mobile - Other Carriers,1268773
Antigua and Barbuda,Mobile - Other Carriers,1268774
Antigua and Barbuda,Mobile - Other Carriers,1268775
Antigua and Barbuda,Mobile - Other Carriers,1268776
Antigua and Barbuda,Mobile - Other Carriers,1268778
Antigua and Barbuda,Mobile - Other Carriers,1268779
Antigua and Barbuda,Mobile - Other Carriers,1268780
Antigua and Barbuda,Mobile - Other Carriers,1268781
Antigua and Barbuda,Mobile - Other Carriers,1268782
Antigua and Barbuda,Mobile - Other Carriers,1268784
Antigua and Barbuda,Mobile - Other Carriers,1268786
Antigua and Barbuda,Mobile - Other Carriers,1268789
Argentina,Proper,54
Argentina,Buenos Aires,5411
Argentina,Cordoba,54351
Argentina,Corrientes,543783
Argentina,La Plata,54221
Argentina,Mar del Plata,54223
Argentina,Mendoza,54261
Argentina,Other Cities,542293
Argentina,Other Cities,54232
Argentina,Other Cities,542362
Argentina,Other Cities,54237
Argentina,Other Cities,54291
Argentina,Other Cities,54299
Argentina,Other Cities,54332
Argentina,Other Cities,54343
Argentina,Other Cities,543461
Argentina,Other Cities,543464
Argentina,Other Cities,543476
Argentina,Other Cities,54348
Argentina,Other Cities,543543
Argentina,Other Cities,543571
Argentina,Other Cities,54358
Argentina,Other Cities,54372
Argentina,Other Cities,543874
Argentina,Rosario,54341
Argentina,San Juan,54264
Argentina,Santa Fe,54342
Argentina,Mobile - All Cities/Buenos Aires Mobile,54911
Argentina,Mobile - All Cities/Other Cities Mobile,5490
Argentina,Mobile - All Cities/Other Cities Mobile,54910
Argentina,Mobile - All Cities/Other Cities Mobile,54912
Argentina,Mobile - All Cities/Other Cities Mobile,54913
Argentina,Mobile - All Cities/Other Cities Mobile,54914
Argentina,Mobile - All Cities/Other Cities Mobile,54915
Argentina,Mobile - All Cities/Other Cities Mobile,54916
Argentina,Mobile - All Cities/Other Cities Mobile,54917
Argentina,Mobile - All Cities/Other Cities Mobile,54918
Argentina,Mobile - All Cities/Other Cities Mobile,54919
Argentina,Mobile - All Cities/Other Cities Mobile,5492
Argentina,Mobile - All Cities/Other Cities Mobile,5493
Argentina,Mobile - All Cities/Other Cities Mobile,5494
Argentina,Mobile - All Cities/Other Cities Mobile,5495
Argentina,Mobile - All Cities/Other Cities Mobile,5496
Argentina,Mobile - All Cities/Other Cities Mobile,5497
Argentina,Mobile - All Cities/Other Cities Mobile,5498
Argentina,Mobile - All Cities/Other Cities Mobile,5499
Armenia,Proper,374
Armenia,Yerevan,37410
Armenia,Nagorny Karabakh Fixed,37447
Armenia,Mobile - Armentel,37491
Armenia,Mobile - Armentel,37496
Armenia,Mobile - Armentel,37499
Armenia,Mobile - Orange,37455
Armenia,Mobile - Orange,37495
Armenia,Mobile - Other Carriers,37450
Armenia,Mobile - Other Carriers,37451
Armenia,Mobile - Other Carriers,37452
Armenia,Mobile - Other Carriers,37453
Armenia,Mobile - Other Carriers,37454
Armenia,Mobile - Other Carriers,37456
Armenia,Mobile - Other Carriers,37457
Armenia,Mobile - Other Carriers,37458
Armenia,Mobile - Other Carriers,37459
Armenia,Mobile - Other Carriers,37492
Armenia,Mobile - Vivacell,37477
Armenia,Mobile - Vivacell,37493
Armenia,Mobile - Vivacell,37494
Armenia,Mobile - Vivacell,37498
Armenia,Nagorny Karabakh Mobile,37497
Aruba,Proper,297
Aruba,Mobile - Digicel,297630
Aruba,Mobile - Digicel,297640
Aruba,Mobile - Digicel,297641
Aruba,Mobile - Digicel,29773
Aruba,Mobile - Digicel,29774
Aruba,Mobile - MIO,297600
Aruba,Mobile - MIO,297622
Aruba,Mobile - Other Carriers,29756
Aruba,Mobile - Other Carriers,297592
Aruba,Mobile - Other Carriers,297593
Aruba,Mobile - Other Carriers,297594
Aruba,Mobile - Other Carriers,297597
Aruba,Mobile - Other Carriers,297598
Aruba,Mobile - Other Carriers,297660
Aruba,Mobile - Other Carriers,297661
Aruba,Mobile - Other Carriers,297690
Aruba,Mobile - Other Carriers,297995
Aruba,Mobile - Other Carriers,297996
Aruba,Mobile - Other Carriers,297997
Aruba,Mobile - Other Carriers,297998
Ascension Island,Proper,247
Australia,Proper,61
Australia,Adelaide,6187
Australia,Adelaide,61881
Australia,Adelaide,61882
Australia,Adelaide,61883
Australia,Adelaide,61884
Australia,Brisbane,6173
Australia,Canberra,61261
Australia,Canberra,61262
Australia,Melbourne,6138
Australia,Melbourne,6139
Australia,Perth,6186
Australia,Perth,61892
Australia,Perth,61893
Australia,Perth,61894
Australia,Sydney,6128
Australia,Sydney,6129
Australia,Mobile - Hutchison,61425
Australia,Mobile - Hutchison,61430
Australia,Mobile - Hutchison,61433
Australia,Mobile - Optus,61401
Australia,Mobile - Optus,61402
Australia,Mobile - Optus,61403
Australia,Mobile - Optus,61411
Australia,Mobile - Optus,61412
Australia,Mobile - Optus,61413
Australia,Mobile - Optus,61421
Australia,Mobile - Optus,61422
Australia,Mobile - Optus,61423
Australia,Mobile - Optus,61431
Australia,Mobile - Optus,61432
Australia,Mobile - Optus,61434
Australia,Mobile - Optus,61435
Australia,Mobile - Optus,61466
Australia,Mobile - Optus,614683
Australia,Mobile - Optus,614684
Australia,Mobile - Optus,614685
Australia,Mobile - Optus,614686
Australia,Mobile - Optus,614687
Australia,Mobile - Optus,614688
Australia,Mobile - Optus,614689
Australia,Mobile - Optus,61478
Australia,Mobile - Optus,614790
Australia,Mobile - Optus,614791
Australia,Mobile - Other Carriers,6142000
Australia,Mobile - Other Carriers,6142001
Australia,Mobile - Other Carriers,614462
Australia,Mobile - Other Carriers,614466
Australia,Mobile - Other Carriers,61469
Australia,Mobile - Other Carriers,61470
Australia,Mobile - Other Carriers,614888
Australia,Mobile - Other Carriers,6148984
Australia,Mobile - Telstra,61400
Australia,Mobile - Telstra,61407
Australia,Mobile - Telstra,61408
Australia,Mobile - Telstra,61409
Australia,Mobile - Telstra,61417
Australia,Mobile - Telstra,61418
Australia,Mobile - Telstra,61419
Australia,Mobile - Telstra,61427
Australia,Mobile - Telstra,61428
Australia,Mobile - Telstra,61429
Australia,Mobile - Telstra,61437
Australia,Mobile - Telstra,61438
Australia,Mobile - Telstra,61439
Australia,Mobile - Telstra,614444
Australia,Mobile - Telstra,61447
Australia,Mobile - Telstra,61448
Australia,Mobile - Telstra,61457
Australia,Mobile - Telstra,61458
Australia,Mobile - Telstra,61459
Australia,Mobile - Telstra,61467
Australia,Mobile - Telstra,61477
Australia,Mobile - Telstra,61487
Australia,Mobile - Telstra,614880
Australia,Mobile - Telstra,614881
Australia,Mobile - Telstra,614882
Australia,Mobile - Telstra,614883
Australia,Mobile - Telstra,614884
Australia,Mobile - Telstra,614885
Australia,Mobile - Telstra,614886
Australia,Mobile - Telstra,614887
Australia,Mobile - Telstra,614889
Australia,Mobile - Telstra,61498
Australia,Mobile - Telstra,61499
Australia,Mobile - Vodafone,61404
Australia,Mobile - Vodafone,61405
Australia,Mobile - Vodafone,61406
Australia,Mobile - Vodafone,61410
Australia,Mobile - Vodafone,61414
Australia,Mobile - Vodafone,61415
Australia,Mobile - Vodafone,61416
Australia,Mobile - Vodafone,614202
Australia,Mobile - Vodafone,614203
Australia,Mobile - Vodafone,614204
Australia,Mobile - Vodafone,614205
Australia,Mobile - Vodafone,614206
Australia,Mobile - Vodafone,614207
Australia,Mobile - Vodafone,614208
Australia,Mobile - Vodafone,614209
Australia,Mobile - Vodafone,61424
Australia,Mobile - Vodafone,61426
Australia,Mobile - Vodafone,61449
Australia,Mobile - Vodafone,61450
Australia,Mobile - Vodafone,61451
Australia,Mobile - Vodafone,61452
Australia,Mobile - Vodafone,61453
Austria,Proper,43
Austria,Vienna,431
Austria,Mobile - Hutchison 3G,43660
Austria,Mobile - Hutchison 3G,4367833
Austria,Mobile - Hutchison 3G,4367890
Austria,Mobile - Hutchison 3G,4367891
Austria,Mobile - Mobilkom,43644
Austria,Mobile - Mobilkom,43664
Austria,Mobile - Mobilkom,43680
Austria,Mobile - Mobilkom,43688
Austria,Mobile - Mobilkom,4369988
Austria,Mobile - Mobilkom,4369989
Austria,Mobile - One,43681
Austria,Mobile - One,436990
Austria,Mobile - One,436991
Austria,Mobile - One,436992
Austria,Mobile - One,436993
Austria,Mobile - One,436994
Austria,Mobile - One,436995
Austria,Mobile - One,436996
Austria,Mobile - One,436997
Austria,Mobile - One,4369980
Austria,Mobile - One,4369981
Austria,Mobile - One,4369982
Austria,Mobile - One,4369983
Austria,Mobile - One,4369984
Austria,Mobile - One,4369985
Austria,Mobile - One,4369986
Austria,Mobile - One,4369987
Austria,Mobile - One,436999
Austria,Mobile - Tmobile,43650
Austria,Mobile - Tmobile,43676
Austria,Mobile - Tmobile,43677
Azerbaijan,Proper,994
Azerbaijan,Baku,99412
Azerbaijan,Baku,99488
Azerbaijan,Mobile - Azercell,99450
Azerbaijan,Mobile - Azercell,99451
Azerbaijan,Mobile - Bakcell,99455
Azerbaijan,Mobile - Other Carriers,99440
Azerbaijan,Mobile - Other Carriers,99444
Azerbaijan,Mobile - Other Carriers,99460
Azerbaijan,Mobile - Other Carriers,99470
Azerbaijan,Mobile - Other Carriers,99477
Bahamas,Proper,1242
Bahamas,Mobile,1242357
Bahamas,Mobile,1242359
Bahamas,Mobile,1242375
Bahamas,Mobile,1242395
Bahamas,Mobile,1242421
Bahamas,Mobile,1242422
Bahamas,Mobile,1242423
Bahamas,Mobile,1242424
Bahamas,Mobile,1242425
Bahamas,Mobile,1242426
Bahamas,Mobile,1242427
Bahamas,Mobile,1242428
Bahamas,Mobile,1242429
Bahamas,Mobile,1242431
Bahamas,Mobile,1242432
Bahamas,Mobile,1242433
Bahamas,Mobile,1242434
Bahamas,Mobile,1242435
Bahamas,Mobile,1242436
Bahamas,Mobile,1242437
Bahamas,Mobile,1242438
Bahamas,Mobile,1242439
Bahamas,Mobile,1242441
Bahamas,Mobile,1242442
Bahamas,Mobile,1242443
Bahamas,Mobile,1242445
Bahamas,Mobile,1242446
Bahamas,Mobile,1242447
Bahamas,Mobile,1242448
Bahamas,Mobile,1242449
Bahamas,Mobile,1242451
Bahamas,Mobile,1242452
Bahamas,Mobile,1242453
Bahamas,Mobile,1242454
Bahamas,Mobile,1242455
Bahamas,Mobile,1242456
Bahamas,Mobile,1242457
Bahamas,Mobile,1242458
Bahamas,Mobile,1242462
Bahamas,Mobile,1242463
Bahamas,Mobile,1242464
Bahamas,Mobile,1242465
Bahamas,Mobile,1242466
Bahamas,Mobile,1242467
Bahamas,Mobile,1242468
Bahamas,Mobile,124247
Bahamas,Mobile,1242481
Bahamas,Mobile,1242524
Bahamas,Mobile,1242525
Bahamas,Mobile,1242533
Bahamas,Mobile,1242535
Bahamas,Mobile,1242544
Bahamas,Mobile,1242551
Bahamas,Mobile,1242552
Bahamas,Mobile,1242553
Bahamas,Mobile,1242554
Bahamas,Mobile,1242556
Bahamas,Mobile,1242557
Bahamas,Mobile,1242558
Bahamas,Mobile,1242559
Bahamas,Mobile,1242565
Bahamas,Mobile,1242577
Bahamas,Mobile,1242636
Bahamas,Mobile,1242646
Bahamas,Mobile,1242727
Bahrain,Proper,973
Bahrain,Mobile - Batelco,973322
Bahrain,Mobile - Batelco,973383
Bahrain,Mobile - Batelco,973384
Bahrain,Mobile - Batelco,973388
Bahrain,Mobile - Batelco,97339
Bahrain,Mobile - MTC Vodafone,973136
Bahrain,Mobile - MTC Vodafone,97336
Bahrain,Mobile - MTC Vodafone,973377
Bahrain,Mobile - MTC Vodafone,97366
Bahrain,Mobile - STC,97333
Bahrain,Mobile - STC,973340
Bahrain,Mobile - STC,973341
Bahrain,Mobile - STC,973342
Bahrain,Mobile - STC,973343
Bahrain,Mobile - STC,973344
Bahrain,Mobile - STC,973345
Bahrain,Mobile - WiMax,97377
Bangladesh,Proper,880
Bangladesh,Chittagong,88031
Bangladesh,Dhaka,8802
Bangladesh,Sylet,880821
Bangladesh,Mobile - Grameen,88017
Bangladesh,Mobile - Other Carriers,88010
Bangladesh,Mobile - Other Carriers,88011
Bangladesh,Mobile - Other Carriers,88012
Bangladesh,Mobile - Other Carriers,88013
Bangladesh,Mobile - Other Carriers,88014
Bangladesh,Mobile - Other Carriers,88015
Bangladesh,Mobile - Other Carriers,88016
Bangladesh,Mobile - Other Carriers,88018
Bangladesh,Mobile - Other Carriers,88019
Barbados,Proper,1246
Barbados,Mobile - Digicel,1246256
Barbados,Mobile - Digicel,1246257
Barbados,Mobile - Digicel,1246258
Barbados,Mobile - Digicel,1246259
Barbados,Mobile - Digicel,124626
Barbados,Mobile - Digicel,124682
Barbados,Mobile - Digicel,124683
Barbados,Mobile - Other Carriers,124623
Barbados,Mobile - Other Carriers,124624
Barbados,Mobile - Other Carriers,1246250
Barbados,Mobile - Other Carriers,1246251
Barbados,Mobile - Other Carriers,1246252
Barbados,Mobile - Other Carriers,1246253
Barbados,Mobile - Other Carriers,1246254
Barbados,Mobile - Other Carriers,1246255
Belarus,Proper,375
Belarus,Minsk,375172
Belarus,Minsk,375173
Belarus,Minsk,375175
Belarus,Mobile - MTS,375292
Belarus,Mobile - MTS,375295
Belarus,Mobile - MTS,375297
Belarus,Mobile - MTS,375298
Belarus,Mobile - MTS,37533
Belarus,Mobile - Other Carriers,37525
Belarus,Mobile - Other Carriers,375290
Belarus,Mobile - Other Carriers,375294
Belarus,Mobile - Velcom,375291
Belarus,Mobile - Velcom,375293
Belarus,Mobile - Velcom,375296
Belarus,Mobile - Velcom,375299
Belarus,Mobile - Velcom,37544
Belarus,Personal,375602
Belgium,Proper,32
Belgium,Brussels,322
Belgium,Mobile - Base,3248
Belgium,Mobile - Mobistar,3249
Belgium,Mobile - Other Carriers,324630
Belgium,Mobile - Other Carriers,324681
Belgium,Mobile - Other Carriers,324682
Belgium,Mobile - Other Carriers,324683
Belgium,Mobile - Proximus,32460
Belgium,Mobile - Proximus,3247
Belize,Proper,501
Belize,Mobile,5016
Benin,Proper,229
Benin,Mobile - Glomobile,22998
Benin,Mobile - Glomobile,22999
Benin,Mobile - MTN,22966
Benin,Mobile - MTN,22967
Benin,Mobile - MTN,22996
Benin,Mobile - MTN,22997
Benin,Mobile - Other Carriers,22990
Benin,Mobile - Other Carriers,22991
Benin,Mobile - Other Carriers,22992
Benin,Mobile - Other Carriers,22993
Benin,Mobile - Telecel,22964
Benin,Mobile - Telecel,22994
Benin,Mobile - Telecel,22995
Bermuda,Proper,1441
Bermuda,Mobile - Digicel,144150
Bermuda,Mobile - Digicel,144151
Bermuda,Mobile - Digicel,144152
Bermuda,Mobile - Digicel,144153
Bermuda,Mobile - Digicel,144159
Bermuda,Mobile - Other Carriers,14413
Bermuda,Mobile - Other Carriers,14417
Bhutan,Proper,975
Bhutan,Mobile,97517
Bhutan,Mobile,97593
Bhutan,Mobile,97594
Bhutan,Mobile,97595
Bhutan,Mobile,97596
Bhutan,Mobile,97597
Bhutan,Mobile,97598
Bhutan,Mobile,97599
Bolivia,Proper,591
Bolivia,Cochabamba,5914410
Bolivia,Cochabamba,5914411
Bolivia,Cochabamba,5914412
Bolivia,Cochabamba,59144130
Bolivia,Cochabamba,59144131
Bolivia,Cochabamba,59144132
Bolivia,Cochabamba,5914414
Bolivia,Cochabamba,5914415
Bolivia,Cochabamba,5914416
Bolivia,Cochabamba,5914417
Bolivia,Cochabamba,5914418
Bolivia,Cochabamba,5914419
Bolivia,Cochabamba,591442
Bolivia,Cochabamba,5914430
Bolivia,Cochabamba,5914431
Bolivia,Cochabamba,5914432
Bolivia,Cochabamba,5914433
Bolivia,Cochabamba,5914435
Bolivia,Cochabamba,5914436
Bolivia,Cochabamba,5914437
Bolivia,Cochabamba,5914439
Bolivia,Cochabamba,591444
Bolivia,Cochabamba,5914450
Bolivia,Cochabamba,5914451
Bolivia,Cochabamba,5914452
Bolivia,Cochabamba,5914453
Bolivia,Cochabamba,5914454
Bolivia,Cochabamba,5914455
Bolivia,Cochabamba,5914456
Bolivia,Cochabamba,5914458
Bolivia,Cochabamba,5914459
Bolivia,Cochabamba,5914460
Bolivia,Cochabamba,5914461
Bolivia,Cochabamba,59144620
Bolivia,Cochabamba,59144621
Bolivia,Cochabamba,59144622
Bolivia,Cochabamba,59144623
